django.utils.autoreload INFO 2025-02-21 19:38:51,507 autoreload 20648 692 Watching for file changes with StatReloader
django.utils.autoreload DEBUG 2025-02-21 19:38:51,508 autoreload 20648 692 Waiting for apps ready_event.
django.db.backends DEBUG 2025-02-21 19:38:51,548 utils 20648 13308 (0.000) BEGIN; args=None; alias=default
django.db.backends DEBUG 2025-02-21 19:38:51,553 utils 20648 13308 (0.002) INSERT INTO "django_apscheduler_djangojob" ("id", "next_run_time", "job_state") VALUES ('backup_every_one_min', '2025-02-21 14:09:51.545334', X'80059515020000000000007D94288C0776657273696F6E944B018C026964948C146261636B75705F65766572795F6F6E655F6D696E948C0466756E63948C366164766F6361746564696172792E7363686564756C65722E7363686564756C65723A6261636B75705F65766572795F6F6E655F6D696E948C0774726967676572948C1D61707363686564756C65722E74726967676572732E696E74657276616C948C0F496E74657276616C547269676765729493942981947D942868014B028C0874696D657A6F6E65948C086275696C74696E73948C07676574617474729493948C087A6F6E65696E666F948C085A6F6E65496E666F9493948C095F756E7069636B6C6594869452948C0D417369612F43616C6375747461944B01869452948C0A73746172745F64617465948C086461746574696D65948C086461746574696D65949394430A07E90215132733085236946818869452948C08656E645F64617465944E8C08696E74657276616C94681A8C0974696D6564656C74619493944B004B3C4B00879452948C066A6974746572944E75628C086578656375746F72948C0764656661756C74948C046172677394298C066B7761726773947D948C046E616D659468038C126D6973666972655F67726163655F74696D65944B018C08636F616C6573636594888C0D6D61785F696E7374616E636573944B018C0D6E6578745F72756E5F74696D6594681C430A07E9021513273308523694681886945294752E'); args=('backup_every_one_min', '2025-02-21 14:09:51.545334', <memory at 0x000001F55E8A1E40>); alias=default
django.db.backends DEBUG 2025-02-21 19:38:51,624 utils 20648 13308 (0.071) COMMIT; args=None; alias=default
django.db.backends DEBUG 2025-02-21 19:38:51,625 utils 20648 13308 (0.000) BEGIN; args=None; alias=default
django.db.backends DEBUG 2025-02-21 19:38:51,626 utils 20648 13308 (0.001) INSERT INTO "django_apscheduler_djangojob" ("id", "next_run_time", "job_state") VALUES ('delete_old_job_executions', '2025-02-21 14:09:01.545512', X'8005951F020000000000007D94288C0776657273696F6E944B018C026964948C1964656C6574655F6F6C645F6A6F625F657865637574696F6E73948C0466756E63948C3B6164766F6361746564696172792E7363686564756C65722E7363686564756C65723A64656C6574655F6F6C645F6A6F625F657865637574696F6E73948C0774726967676572948C1D61707363686564756C65722E74726967676572732E696E74657276616C948C0F496E74657276616C547269676765729493942981947D942868014B028C0874696D657A6F6E65948C086275696C74696E73948C07676574617474729493948C087A6F6E65696E666F948C085A6F6E65496E666F9493948C095F756E7069636B6C6594869452948C0D417369612F43616C6375747461944B01869452948C0A73746172745F64617465948C086461746574696D65948C086461746574696D65949394430A07E902151327010852E8946818869452948C08656E645F64617465944E8C08696E74657276616C94681A8C0974696D6564656C74619493944B004B0A4B00879452948C066A6974746572944E75628C086578656375746F72948C0764656661756C74948C046172677394298C066B7761726773947D948C046E616D659468038C126D6973666972655F67726163655F74696D65944B018C08636F616C6573636594888C0D6D61785F696E7374616E636573944B018C0D6E6578745F72756E5F74696D6594681C430A07E902151327010852E894681886945294752E'); args=('delete_old_job_executions', '2025-02-21 14:09:01.545512', <memory at 0x000001F55E8A1E40>); alias=default
django.db.backends DEBUG 2025-02-21 19:38:51,706 utils 20648 13308 (0.079) COMMIT; args=None; alias=default
django.utils.autoreload DEBUG 2025-02-21 19:38:51,710 autoreload 20648 692 Apps ready_event triggered. Sending autoreload_started signal.
django.db.backends DEBUG 2025-02-21 19:38:51,722 utils 20648 22368 (0.002) SELECT "django_apscheduler_djangojob"."id", "django_apscheduler_djangojob"."job_state" FROM "django_apscheduler_djangojob" WHERE "django_apscheduler_djangojob"."next_run_time" <= '2025-02-21 14:08:51.707155' ORDER BY "django_apscheduler_djangojob"."next_run_time" ASC; args=('2025-02-21 14:08:51.707155',); alias=default
django.db.backends DEBUG 2025-02-21 19:38:51,724 utils 20648 22368 (0.000) SELECT "django_apscheduler_djangojob"."id", "django_apscheduler_djangojob"."next_run_time", "django_apscheduler_djangojob"."job_state" FROM "django_apscheduler_djangojob" WHERE "django_apscheduler_djangojob"."next_run_time" IS NOT NULL ORDER BY "django_apscheduler_djangojob"."next_run_time" ASC LIMIT 1; args=(); alias=default
django.utils.autoreload DEBUG 2025-02-21 19:38:52,453 autoreload 20648 692 Watching dir F:\python\advocatediary\templates with glob **/*.
django.utils.autoreload DEBUG 2025-02-21 19:38:52,454 autoreload 20648 692 Watching dir F:\python\env\Lib\site-packages\rest_framework\templates with glob **/*.
django.utils.autoreload DEBUG 2025-02-21 19:38:52,454 autoreload 20648 692 Watching dir F:\python\advocatediary\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2025-02-21 19:38:52,454 autoreload 20648 692 Watching dir F:\python\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2025-02-21 19:38:52,454 autoreload 20648 692 Watching dir F:\python\env\Lib\site-packages\dbbackup\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2025-02-21 19:38:52,454 autoreload 20648 692 Watching dir F:\python\env\Lib\site-packages\django_apscheduler\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2025-02-21 19:38:52,454 autoreload 20648 692 Watching dir F:\python\advocatediary\v1\locale with glob **/*.mo.
django.db.backends DEBUG 2025-02-21 19:38:52,506 utils 20648 13308 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
django.db.backends DEBUG 2025-02-21 19:38:52,508 utils 20648 13308 (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
django.utils.autoreload DEBUG 2025-02-21 19:38:52,741 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1739764112.3615265
django.utils.autoreload DEBUG 2025-02-21 19:38:52,741 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1739764112.242776
django.utils.autoreload DEBUG 2025-02-21 19:38:52,741 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1739764108.2629783
django.utils.autoreload DEBUG 2025-02-21 19:38:52,741 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1739764112.188453
django.utils.autoreload DEBUG 2025-02-21 19:38:52,742 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\utils\dates.py first seen with mtime 1739764112.3700418
django.utils.autoreload DEBUG 2025-02-21 19:38:52,742 autoreload 20648 692 File F:\python\env\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1739855743.922089
django.utils.autoreload DEBUG 2025-02-21 19:38:52,742 autoreload 20648 692 File F:\python\env\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1739764102.439921
django.utils.autoreload DEBUG 2025-02-21 19:38:52,742 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1739764111.7354286
django.utils.autoreload DEBUG 2025-02-21 19:38:52,742 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1739764112.3710413
django.utils.autoreload DEBUG 2025-02-21 19:38:52,742 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\difflib.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,743 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1739764112.2367659
django.utils.autoreload DEBUG 2025-02-21 19:38:52,743 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\mail\message.py first seen with mtime 1739764112.0076518
django.utils.autoreload DEBUG 2025-02-21 19:38:52,743 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\traceback.py first seen with mtime 1733239650.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,743 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\template\engine.py first seen with mtime 1739764112.3389516
